OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set,Blink
60.5420,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
74.7150,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
76.0180,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
77.3170,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
78.9370,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
86.8720,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
88.5710,EMG1,0.6520,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
104.6250,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
105.5310,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
110.0620,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
111.6940,MISS,0,Catch,Present,AttendFull,Original,Left,Visible,0.00,02,Accept
115.1390,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
134.2100,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
135.0070,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
136.6290,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
155.5660,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
160.5020,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
162.2200,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
163.7240,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
164.9220,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
166.1430,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
201.3520,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
202.6690,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
208.9050,EMG1,0.4230,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
209.2170,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
216.1960,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
231.4360,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
256.3470,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
258.0640,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
259.6710,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
263.4990,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
271.4260,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
272.2360,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
274.2420,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
285.0940,MISS,0,Catch,Present,AttendFull,Original,Left,Visible,0.00,01,Accept
286.8810,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
289.2990,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
312.1500,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
312.8650,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
315.9870,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
386.5120,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
387.6050,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
388.6300,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
389.3480,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
389.4320,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
390.8350,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
393.0530,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
397.6970,MISS,0,Catch,Present,AttendFull,Original,Right,Visible,0.00,03,Accept
398.4830,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
400.3740,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
402.2060,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
403.5260,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
404.5240,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
406.4420,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
504.5420,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
505.3450,EMG1,0.3110,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
506.8580,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
507.8550,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
511.1810,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
512.6850,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
517.5020,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
519.2200,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
521.8370,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
522.6340,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
544.3880,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
545.5910,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
545.6140,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
547.6090,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
548.7120,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
548.7360,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
550.2530,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
552.1480,EMG1,0.4440,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
552.4750,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
553.7760,EMG1,0.2900,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
554.5850,EMG1,0.8930,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
555.2650,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
555.5320,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
555.9880,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
559.1690,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
559.9870,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
561.1870,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
564.0020,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
594.2600,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
595.5640,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
597.4820,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
598.6190,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
601.9030,EMG1,0.6160,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
603.4210,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
604.1180,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
655.5700,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
672.0580,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
673.8780,EMG1,0.4920,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
678.1940,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
687.2650,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
688.2630,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
688.9850,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
691.7020,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
693.0020,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
699.4470,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
703.8670,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
736.4040,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
743.1450,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
744.3450,EMG1,0.5580,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
746.6640,EMG1,0.4960,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
747.3840,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
749.1140,MISS,0,Catch,Present,AttendFull,Original,Right,Visible,0.00,02,Accept
750.1040,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
755.5270,EMG1,0.7300,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
757.3220,EMG1,0.5820,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
759.9470,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
764.0640,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
764.9820,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
769.4150,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
774.0340,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
775.5540,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
806.1750,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
808.3960,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
842.5210,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
843.4240,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
880.1060,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
883.4400,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
