OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set,Blink
79.9420,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
82.9610,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
84.6770,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
88.7140,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
89.9120,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
120.6000,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
121.6050,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
123.3230,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
161.2730,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
166.2090,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
167.9100,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
169.4270,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
170.6290,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
171.8450,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
172.6470,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
204.8390,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
205.7570,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
207.0570,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
208.3590,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
212.6470,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
214.3460,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
214.5960,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
215.9650,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
218.9830,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
220.0850,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
221.2000,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
221.9030,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
225.4370,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
242.1990,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
265.1320,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
266.4500,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
268.9710,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
276.8930,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
277.7120,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
326.7660,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
330.0830,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
333.9200,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
335.2240,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
336.7430,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
345.2660,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
392.2050,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
393.3230,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
395.1240,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
396.5430,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
453.6160,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
