OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set,Blink
79.0910,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
80.3950,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
81.0060,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
81.7120,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
82.7220,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
83.3140,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
86.7440,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
87.9600,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
90.9390,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
92.6400,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
176.4210,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
180.1400,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
180.9500,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
182.1540,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
188.1510,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
190.1710,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
190.9670,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
193.0910,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
214.3100,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
273.4590,EMG1,0.2980,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
275.0590,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
276.0590,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
285.4950,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
303.3830,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
307.8130,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
383.7510,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
385.7660,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
386.6700,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
389.0600,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
390.2450,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
391.7830,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
394.5660,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
395.1980,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
396.9120,MISS,0,Catch,Present,AttendFull,Original,Right,Visible,0.00,02,Accept
404.1290,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
410.1620,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
410.8700,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
435.6440,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
491.9100,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
493.4270,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
495.8520,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
498.7710,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
530.5090,MISS,0,Catch,Present,AttendFull,Original,Right,Visible,0.00,04,Accept
531.3490,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
533.4270,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
537.2650,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
605.6530,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
607.8710,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
616.1350,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
618.1310,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
619.0490,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
622.4730,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
635.0150,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
636.4350,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
638.3400,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
659.6340,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
660.8590,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
692.1910,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
696.9390,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
704.5650,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
707.0160,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
707.4860,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
748.0260,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
752.7370,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
759.2610,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
761.0760,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
763.6780,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
769.8360,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
797.6940,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
799.9150,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
803.1180,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
805.9620,MISS,0,Catch,Present,AttendFull,Original,Right,Visible,0.00,03,Accept
811.0320,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
814.5470,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
816.0480,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
817.0690,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
828.3750,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
829.1690,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
831.4860,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
839.4080,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
840.8600,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
