OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set,Blink
61.5940,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
64.9610,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
66.8600,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
68.6800,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
69.1330,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
70.6850,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
72.0550,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
73.6700,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
74.7160,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
75.0690,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
76.3400,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
77.4350,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
79.4530,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
92.2190,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
106.3470,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
107.1680,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
113.3690,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
118.2100,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
120.0260,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
120.5590,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
122.2750,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
143.5290,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
144.9440,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
146.8480,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
147.6620,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
149.2670,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
163.5110,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
