OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set,Blink
64.1100,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
66.0230,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
67.8340,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
69.8520,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
73.9680,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
91.6900,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
95.1120,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
96.8280,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
97.6310,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
103.8520,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
107.1420,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
108.0390,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
108.6910,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
110.4910,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
112.5780,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
114.0940,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
114.8290,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
119.7160,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
121.4250,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
134.0120,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
135.4130,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
137.3300,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
138.1270,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
139.7490,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
166.2390,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
167.4530,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
168.6540,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
169.4740,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
240.3030,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
244.0360,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
247.0570,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
254.1780,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
256.7960,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
259.2070,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
260.6250,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
264.2810,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
265.3820,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
323.0450,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
326.3640,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
330.1830,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
331.5050,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
333.0170,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
341.5430,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
343.3480,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
345.1640,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
347.8850,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
350.4000,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
351.2120,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
364.3280,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
366.1030,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
367.9970,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
369.8220,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
371.6400,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
376.8440,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
378.4610,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
400.6770,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
487.9460,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
501.6230,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
503.5250,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
505.3410,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
506.3400,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
507.8420,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
508.1140,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
508.9260,EMG1,0.7260,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
516.8310,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
518.5490,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
519.7450,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
524.0860,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
527.7020,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
530.0260,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
570.5930,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
571.3120,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
575.4120,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
576.7250,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
579.2480,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
580.9470,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
582.0680,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
596.7810,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
601.7450,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
613.0470,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
615.0440,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
615.9620,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
617.5620,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
619.3810,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
636.6660,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
641.1840,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04,Accept
662.5270,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
666.4490,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
669.8660,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
670.6830,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
703.3420,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
706.2670,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02,Accept
775.5160,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
777.6120,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04,Accept
778.6380,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03,Accept
780.2570,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
780.9540,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03,Accept
837.7730,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
843.8060,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01,Accept
844.7070,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01,Accept
849.7600,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02,Accept
