OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
41.8280,EMG1,0.4400,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
41.8490,EMG1,1.1980,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
42.6700,EMG1,0.3770,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,04
43.1510,EMG1,1.1530,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
44.3740,EMG1,0.3550,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
44.5710,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
44.9640,EMG1,0.3790,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
45.0760,EMG1,1.4090,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
45.6640,EMG1,0.4250,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
46.0890,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
46.0930,EMG1,0.3920,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
46.7820,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
46.8880,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
47.2350,EMG1,0.3270,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,01
47.7890,EMG1,1.6210,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
47.9070,EMG1,1.8230,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
48.8330,EMG1,0.3930,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,01
48.9030,EMG1,0.5070,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
49.3080,EMG1,0.4220,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,04
49.5520,EMG1,0.4150,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
50.0070,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
50.1120,EMG1,0.3900,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
51.1170,EMG1,0.4760,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
51.3200,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
51.3540,EMG1,0.2510,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
51.4220,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
51.8310,EMG1,0.8800,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
52.7320,EMG1,1.1400,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
53.0260,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
53.3300,EMG1,1.2890,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
53.3730,EMG1,0.3600,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
53.4520,EMG1,0.4200,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
54.2310,EMG1,0.3880,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,04
54.5520,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
54.9710,EMG1,0.2820,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,01
56.2490,EMG1,0.4480,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,04
56.6900,EMG1,0.2690,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
57.6460,EMG1,0.5430,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
58.3930,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
58.7710,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
59.6040,EMG1,1.9460,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
60.5430,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
61.1850,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
61.2130,EMG1,0.3370,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
61.3590,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
62.0700,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,04
62.1100,EMG1,0.4140,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
62.4670,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
62.7930,EMG1,0.5500,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
63.4780,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
63.9720,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,04
65.0830,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
65.5090,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
65.7910,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,04
66.3300,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
66.5000,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
67.2010,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
67.4460,EMG1,1.1940,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,02
67.7890,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,04
68.0350,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
68.1440,EMG1,0.4960,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,02
68.8180,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
69.4070,EMG1,0.6480,Real,Present,AttendRight,Coerced,Right,Visible,0.00,04
69.4610,EMG1,1.7600,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,02
69.7200,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
70.7520,EMG1,0.6070,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,01
70.7660,EMG1,0.4550,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,02
71.9270,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,04
72.7520,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
73.3360,EMG1,0.3520,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,03
76.8580,EMG1,0.3460,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,03
77.9560,EMG1,0.5760,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,03
77.9860,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,02
78.1770,EMG1,0.3520,Real,Present,AttendFull,Coerced,Left,Visible,0.00,01
78.5480,EMG1,0.6460,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,04
78.7740,EMG1,0.8590,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,03
78.9860,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,02
79.0910,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01
79.6800,EMG1,0.5610,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,03
80.1510,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,04
80.3950,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01
80.8980,EMG1,0.2520,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,03
81.0060,EMG1,1.3450,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02
81.0500,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,04
81.7120,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,01
81.9090,EMG1,0.4420,Real,Present,AttendFull,Coerced,Left,Visible,0.00,02
82.5940,EMG1,0.3700,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,03
82.6710,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,04
82.7220,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02
83.3140,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,01
83.3650,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,04
83.9140,EMG1,0.4940,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,03
84.2250,EMG1,0.5610,Real,Present,AttendFull,Coerced,Left,Visible,0.00,02
84.3800,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,04
84.9300,MISS,0,Real,Present,AttendFull,Coerced,Right,Visible,0.00,01
85.0860,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,04
85.1190,EMG1,0.2790,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,03
85.8410,EMG1,0.3320,Real,Present,AttendFull,Coerced,Left,Visible,0.00,02
85.9070,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,04
86.6330,EMG1,0.3960,Real,Present,AttendFull,Coerced,Right,Visible,0.00,01
86.7440,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,02
87.7080,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,04
87.9600,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02
89.3250,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,04
89.6160,EMG1,0.2700,Real,Present,AttendFull,Coerced,Right,Visible,0.00,03
90.9350,EMG1,0.5710,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
90.9390,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
92.2530,EMG1,0.4360,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
92.6400,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
93.6290,EMG1,0.4580,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
94.2520,EMG1,0.3810,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
94.5560,EMG1,0.4630,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
95.2980,EMG1,0.3590,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
95.3480,EMG1,0.4480,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
95.3700,EMG1,0.2980,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,01
96.0600,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03
96.3960,EMG1,0.8010,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
96.8740,EMG1,0.3930,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,01
97.1490,EMG1,0.3440,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
