OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
37.4770,EMG1,0.3910,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
37.5080,EMG1,0.3470,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,03
38.5930,EMG1,0.4290,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
38.8300,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03
39.2930,EMG1,1.5480,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
40.2100,EMG1,0.3700,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
40.3090,EMG1,0.5320,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
40.6460,EMG1,0.3660,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,03
41.0110,EMG1,0.3720,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
41.7120,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
42.4650,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03
42.7290,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
42.9290,EMG1,0.3020,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
43.4660,EMG1,1.5020,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03
44.2420,EMG1,0.5500,Real,Absent,AttendFull,NA,Right,Visible,0.00,01
44.3310,EMG1,0.4170,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
44.4280,EMG1,0.2920,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
44.5830,EMG1,0.3850,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,03
45.2280,EMG1,0.3760,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
45.3480,EMG1,0.3990,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
45.6830,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03
45.8510,EMG1,0.4640,Real,Absent,AttendFull,NA,Right,Visible,0.00,01
46.0480,EMG1,0.3780,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
46.2490,EMG1,0.2810,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
46.5600,EMG1,0.5600,Real,Absent,AttendFull,NA,Left,Visible,0.00,01
46.9680,EMG1,1.0710,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
47.1020,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
47.6490,EMG1,0.2750,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
47.6690,EMG1,0.3700,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
48.3690,EMG1,0.4510,Real,Absent,AttendFull,NA,Right,Visible,0.00,01
48.7020,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
48.7840,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
49.6670,EMG1,0.8210,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
50.3790,EMG1,0.4220,Real,Absent,AttendFull,NA,Right,Visible,0.00,01
51.6700,EMG1,0.3190,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
51.9880,EMG1,0.3840,Real,Absent,AttendFull,NA,Right,Visible,0.00,01
52.5880,EMG1,0.3720,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
52.9850,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
53.3050,EMG1,0.4010,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
53.6970,EMG1,0.3920,Real,Absent,AttendFull,NA,Right,Visible,0.00,01
54.3920,EMG1,0.7480,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
54.5880,EMG1,0.2930,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
54.8240,EMG1,0.3080,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
55.4030,EMG1,1.9820,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
55.4060,EMG1,0.3900,Real,Absent,AttendFull,NA,Right,Visible,0.00,01
56.2250,EMG1,1.1710,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
56.6150,EMG1,0.4720,Real,Absent,AttendFull,NA,Left,Visible,0.00,01
57.0100,EMG1,0.3750,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
57.0430,EMG1,0.3530,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
58.1430,EMG1,0.3460,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
58.2240,EMG1,0.4320,Real,Absent,AttendFull,NA,Right,Visible,0.00,01
58.8290,EMG1,0.6530,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
59.1330,EMG1,0.5470,Real,Absent,AttendFull,NA,Left,Visible,0.00,01
59.1610,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
59.7280,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
60.4100,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04
60.5410,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
