OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
42.0590,EMG1,0.5570,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
42.2800,MISS,0,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
43.1620,EMG1,0.3540,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
43.5970,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
43.8790,EMG1,1.2690,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
44.1000,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
44.8800,EMG1,0.2680,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
45.3990,EMG1,0.4390,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
45.7180,EMG1,0.4210,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
46.1170,EMG1,0.5000,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
46.2960,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
46.4200,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
47.2120,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
47.2990,EMG1,1.8890,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
48.2260,EMG1,1.3870,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
48.2370,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
48.8200,EMG1,0.3380,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
48.9120,EMG1,0.2760,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
49.3320,EMG1,0.2810,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
49.6240,EMG1,0.4680,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
49.9120,EMG1,0.3030,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
50.2380,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
50.4530,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
50.6330,EMG1,0.3640,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
51.5330,EMG1,0.7200,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
51.5410,EMG1,0.2880,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
51.8370,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
51.8550,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
52.2530,EMG1,0.0000,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
53.0390,EMG1,0.3240,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
53.4690,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
53.5570,EMG1,0.3090,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
53.8430,EMG1,0.5030,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
54.8610,EMG1,0.3280,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
56.2620,EMG1,0.2300,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
56.4770,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
57.5730,EMG1,1.7810,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
58.0730,EMG1,0.4550,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
58.0760,EMG1,0.5860,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
58.2790,EMG1,0.2580,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
58.9910,EMG1,0.3630,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,02
59.5900,MISS,0,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
59.9900,EMG1,0.4790,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,02
60.2810,EMG1,0.3340,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
61.1990,EMG1,0.3940,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
61.5930,MISS,0,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,02
