OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
35.9430,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
37.5590,EMG1,0.3860,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
38.2630,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
40.0640,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
42.0810,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
43.6850,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
43.7010,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
43.7360,EMG1,0.3320,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
43.7940,EMG1,0.5500,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,03
44.4300,EMG1,1.3530,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
44.5170,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
45.1100,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03
45.4030,EMG1,0.3450,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
45.4530,EMG1,0.3300,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
46.4210,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
46.8540,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
46.9250,EMG1,0.3630,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,03
47.1000,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
47.6290,EMG1,0.4920,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,03
47.8700,EMG1,1.9760,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
47.9380,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
48.3220,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
48.7290,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03
48.7330,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
49.7470,EMG1,1.8900,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03
49.7530,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
49.9210,EMG1,0.4230,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
50.4860,EMG1,0.2990,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
50.8350,EMG1,0.4250,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
50.8480,EMG1,0.7890,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,03
51.1530,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
51.1900,EMG1,0.4440,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
51.9640,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,03
52.1080,EMG1,1.0730,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
52.8100,EMG1,0.3710,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
53.1760,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
53.3670,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
53.9200,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
54.9860,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
