OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
39.1900,EMG1,0.4060,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
39.9840,EMG1,0.4580,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
40.0150,EMG1,1.5080,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
40.5060,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
40.8320,EMG1,0.6910,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,04
41.0750,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,01
41.0880,EMG1,0.5820,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
41.8040,EMG1,1.3800,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
42.3130,EMG1,0.5650,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
42.6740,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,01
42.7350,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
42.8060,EMG1,0.3780,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
43.0250,EMG1,0.5900,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
43.3940,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,01
44.1300,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
44.2280,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
44.2520,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
45.0560,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
45.1460,EMG1,1.5370,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
45.1940,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,01
45.2210,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
46.0640,EMG1,1.8420,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
46.2510,EMG1,0.4320,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
46.8450,EMG1,0.4280,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
47.2110,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,01
47.3670,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
47.4710,EMG1,0.4350,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,04
47.8480,EMG1,0.4950,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
48.5630,EMG1,0.6800,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
48.7650,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
48.8120,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,01
49.4630,EMG1,1.1070,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
49.4730,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
50.1830,EMG1,0.3870,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
50.3850,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
50.5140,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,01
