OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
41.2100,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
42.5110,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
44.3290,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
45.0280,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
45.2310,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,02
45.8090,EMG1,0.3910,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
46.1450,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
46.6100,EMG1,0.4650,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
47.0480,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,02
47.8470,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
48.0470,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,02
48.2670,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
48.5300,EMG1,0.3430,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
49.3680,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
49.4650,EMG1,0.7010,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,01
49.4680,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,02
50.0290,EMG1,0.3170,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
50.1640,EMG1,0.0020,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
50.4640,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,02
50.7790,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
50.8480,EMG1,0.4140,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
51.8480,EMG1,0.3190,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
51.9820,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
52.0840,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,02
52.3870,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
53.0860,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,02
53.2650,EMG1,0.3850,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
53.8030,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,02
53.9810,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
54.6990,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,02
55.2680,EMG1,0.3340,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
55.4200,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,02
55.5850,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
56.5200,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,02
57.0070,EMG1,1.9840,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
57.2870,EMG1,0.3820,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
57.3030,EMG1,0.3480,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,01
58.1830,EMG1,0.3710,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
58.5040,EMG1,0.4870,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
59.0060,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
59.9080,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
60.2030,EMG1,0.4080,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
60.2220,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
60.7270,EMG1,1.7120,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
60.7420,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,02
61.8240,EMG1,0.4700,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,01
61.8260,EMG1,0.6130,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
62.1380,EMG1,0.6490,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
62.8450,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
63.1610,EMG1,0.7750,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
64.4450,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
64.7600,EMG1,0.4540,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
65.8640,EMG1,1.2400,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
66.0100,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04
66.5650,EMG1,0.4600,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
66.5650,EMG1,0.5390,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
67.4800,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
67.9120,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04
68.1830,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
68.2830,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
68.6580,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,01
69.0820,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
69.3990,EMG1,1.1580,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
69.7280,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04
70.0980,EMG1,0.4590,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
70.2620,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,01
71.3810,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,01
71.4120,EMG1,1.6890,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
71.7290,EMG1,1.9510,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04
72.7000,EMG1,0.3670,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,03
72.7180,EMG1,0.3830,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
73.3500,EMG1,0.3300,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,04
73.3840,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,01
74.0400,EMG1,0.5020,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,04
74.4010,EMG1,0.4230,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,03
74.5380,EMG1,0.3680,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
75.8670,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04
