OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
40.1760,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
41.7790,EMG1,1.3480,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
41.7930,EMG1,0.6090,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
42.4930,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
42.6000,EMG1,0.5270,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,04
44.3120,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
44.4970,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
46.0150,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
46.3130,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
46.8200,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
47.8340,EMG1,1.7980,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
47.9290,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
49.0030,EMG1,1.8550,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
49.2110,EMG1,0.6360,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
49.2370,EMG1,0.3950,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,04
49.6300,EMG1,0.4200,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
50.5180,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
51.2390,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
51.3540,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
51.8420,EMG1,0.5520,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
52.3330,EMG1,0.4450,Real,Present,AttendFull,Coerced,Right,Visible,0.00,03
52.5510,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
53.0370,MISS,0,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
53.2400,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
53.2580,EMG1,1.3600,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
54.1510,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
54.1590,EMG1,0.4590,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,04
54.1680,EMG1,0.4380,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
54.2550,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
55.0710,EMG1,0.5590,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
55.1550,EMG1,1.5150,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
55.8540,EMG1,0.4660,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
56.1740,EMG1,0.6770,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,04
56.2670,EMG1,0.4030,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
56.8740,EMG1,0.5320,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
57.3710,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
57.5740,EMG1,0.4380,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
58.4930,EMG1,1.1840,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
58.7890,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
59.1930,EMG1,0.4840,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
60.3120,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
60.3940,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
60.9910,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
61.9990,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,04
62.5930,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
63.7090,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
63.8970,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,04
64.5110,EMG1,1.7400,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
64.9940,EMG1,0.3880,Real,Present,AttendFull,Coerced,Right,Visible,0.00,03
65.7110,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
65.7170,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04
65.9160,EMG1,0.3350,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
66.5160,EMG1,0.5010,Real,Present,AttendFull,Coerced,Right,Visible,0.00,03
66.9320,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
67.7200,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04
67.9130,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
68.5340,EMG1,0.5230,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
68.7260,EMG1,1.4570,Real,Present,AttendFull,Coerced,Right,Visible,0.00,03
69.3300,EMG1,0.6800,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,01
69.3370,EMG1,0.4250,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,04
69.8320,EMG1,0.3510,Real,Present,AttendFull,Coerced,Right,Visible,0.00,03
70.0340,EMG1,0.5650,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,04
70.3540,EMG1,0.3990,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
70.8480,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
71.1340,EMG1,0.4790,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,01
71.2540,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
71.8520,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,04
72.0470,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
72.0690,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
72.4490,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
73.1720,EMG1,1.0960,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
73.3470,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
73.8710,EMG1,1.0930,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
73.8890,EMG1,0.3790,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
74.5710,EMG1,0.3930,Real,Present,AttendFull,Coerced,Right,Visible,0.00,03
74.6670,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
76.1850,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
76.2680,MISS,0,Catch,Present,AttendLeft,Coerced,Right,Visible,0.00,01
76.5090,EMG1,0.3100,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
77.0870,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
77.2610,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,04
77.8870,EMG1,0.5020,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,01
78.3080,EMG1,0.5860,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
78.4690,EMG1,1.9490,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04
79.5900,EMG1,0.6350,Real,Present,AttendRight,Coerced,Right,Visible,0.00,01
80.0790,EMG1,0.3390,Real,Present,AttendFull,Coerced,Right,Visible,0.00,04
80.7100,EMG1,0.3800,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,03
80.9770,EMG1,0.3640,Real,Present,AttendFull,Coerced,Right,Visible,0.00,04
82.4100,EMG1,0.4360,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,03
82.5950,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04
83.2980,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04
83.7270,EMG1,1.4910,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,02
83.9110,EMG1,0.4340,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,01
84.2230,EMG1,0.3770,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,03
84.3120,EMG1,1.0810,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04
84.7470,EMG1,0.4710,Real,Present,AttendFull,Coerced,Right,Visible,0.00,02
