OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
40.6660,EMG1,0.5280,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
41.9780,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
42.0130,EMG1,0.4570,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
42.1120,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
42.9160,EMG1,0.3370,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,04
43.1280,EMG1,0.6710,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
43.7780,EMG1,0.2770,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
43.8270,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
44.4980,MISS,0,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
44.7840,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
44.8310,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
44.8490,EMG1,0.5250,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
45.6020,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
46.2500,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
46.3350,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
46.3900,EMG1,0.4330,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,01
46.6160,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
47.1070,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
47.1510,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
47.2650,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
47.7210,EMG1,0.3260,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
48.1520,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
48.8310,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
48.8690,EMG1,0.2930,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
48.9060,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
49.5680,EMG1,0.2700,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,04
49.8860,EMG1,0.4750,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
50.2410,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
50.5890,EMG1,0.4860,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
50.9210,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
51.4980,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
51.5830,EMG1,0.3790,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
51.8520,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
52.1970,EMG1,0.3500,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
52.5200,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
53.3060,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
53.5880,EMG1,0.3470,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
54.2450,EMG1,0.4210,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,01
54.5090,MISS,0,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,04
55.9480,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
56.4570,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
56.5070,EMG1,0.3340,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,04
57.1620,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,01
