OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
38.0170,EMG1,0.4330,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
38.7040,EMG1,1.1580,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
39.1230,EMG1,0.4730,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
39.5230,EMG1,0.3390,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,04
39.8370,EMG1,1.3250,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
40.2230,EMG1,0.3890,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,01
40.8390,EMG1,0.3230,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
41.4200,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
41.8390,EMG1,0.3740,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
42.2570,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
42.5390,EMG1,0.3950,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,01
43.2560,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
43.7410,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
44.3420,EMG1,0.3790,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
44.7390,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
44.7530,EMG1,1.8060,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
44.8780,EMG1,0.3800,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
45.8800,EMG1,0.4670,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
46.0560,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
46.1620,EMG1,0.3970,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,04
46.3620,EMG1,0.4020,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,01
46.5930,EMG1,0.4090,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,02
47.4930,EMG1,1.0420,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,02
47.9670,EMG1,0.3710,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,01
