OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
38.0450,EMG1,0.9000,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,02
38.7310,EMG1,0.5570,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
39.0230,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
39.1450,EMG1,0.5050,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,02
39.2860,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
39.8430,EMG1,0.5530,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,02
40.0460,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
40.8600,EMG1,0.4860,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,02
40.8870,EMG1,0.5310,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
41.6060,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
41.8470,EMG1,0.5150,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
42.2650,EMG1,0.3770,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,02
43.2430,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
43.2810,EMG1,0.4290,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,02
43.4060,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
43.6690,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
44.0600,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
44.6830,EMG1,1.5150,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
44.8830,EMG1,0.3360,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,02
45.0620,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
45.4250,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
45.7870,EMG1,0.4110,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
45.8970,EMG1,0.3520,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,02
46.4790,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
46.5980,EMG1,0.4660,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,02
46.9010,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
47.0250,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
47.5160,EMG1,0.3690,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,02
48.2180,EMG1,0.4460,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,02
48.3010,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,03
48.4830,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
48.7440,EMG1,0.4820,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
49.3360,EMG1,0.3310,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,02
49.9190,MISS,0,Catch,Present,AttendRight,Coerced,Left,Visible,0.00,03
50.4420,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
50.4990,EMG1,1.4520,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
51.3970,EMG1,0.5540,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,04
51.6650,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,01
53.2670,EMG1,0.5560,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
53.4210,EMG1,0.5760,Real,Absent,AttendRight,Coerced,Right,Visible,0.00,04
53.5390,EMG1,0.3660,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,02
54.1820,MISS,0,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,01
54.5240,EMG1,0.4500,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
54.9570,EMG1,0.3590,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,02
55.9530,EMG1,0.3680,Real,Absent,AttendFull,Coerced,Left,Visible,0.00,02
56.0400,EMG1,0.6640,Real,Present,AttendRight,Coerced,Right,Visible,0.00,03
57.5740,MISS,0,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
58.2620,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
59.2250,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,04
59.3630,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
59.3750,EMG1,0.3620,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
60.1050,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
60.2930,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
60.3810,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
61.0920,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
61.1400,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,04
61.7060,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
61.9800,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
62.2110,EMG1,1.2500,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
62.8190,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
62.9100,EMG1,0.5510,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
62.9440,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,04
63.3810,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
64.0980,MISS,0,Catch,Present,AttendNone,Coerced,Right,Visible,0.00,03
64.2290,EMG1,1.8590,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
64.8200,MISS,0,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,01
64.9470,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,04
65.5330,EMG1,0.5550,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
65.6990,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
66.5620,EMG1,0.4560,Real,Present,AttendFull,Coerced,Left,Visible,0.00,04
66.6220,MISS,0,Catch,Present,AttendNone,Coerced,Left,Visible,0.00,03
67.2630,EMG1,0.5070,Real,Present,AttendFull,Coerced,Right,Visible,0.00,04
67.3290,EMG1,0.5730,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
68.4420,MISS,0,Real,Present,AttendRight,Coerced,Right,Visible,0.00,01
69.0850,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,04
70.2200,EMG1,0.5060,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,03
70.2440,EMG1,0.6620,Real,Present,AttendRight,Coerced,Right,Visible,0.00,01
71.1420,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,01
71.9410,EMG1,0.4950,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,03
72.4590,MISS,0,Catch,Present,AttendRight,Coerced,Right,Visible,0.00,01
72.7540,EMG1,1.4640,Catch,Present,AttendLeft,Coerced,Left,Visible,0.00,02
73.7560,EMG1,0.4620,Real,Present,AttendLeft,Coerced,Left,Visible,0.00,02
