OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
39.0580,EMG1,0.3980,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
40.1600,EMG1,0.4160,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
40.7700,EMG1,0.4430,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
40.8770,EMG1,0.5170,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
41.2120,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
41.8780,EMG1,0.6250,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
42.0140,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
42.0890,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
43.2930,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
43.8920,EMG1,0.4540,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
43.9310,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
44.2940,EMG1,1.9890,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
44.6090,EMG1,0.5850,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
45.4250,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
45.5400,EMG1,0.3510,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
45.7110,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
45.9130,EMG1,0.3700,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
46.2480,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
46.7280,EMG1,1.3950,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
46.9170,EMG1,0.4470,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
47.1430,EMG1,0.3700,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
47.2480,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
47.6340,EMG1,0.5160,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
47.8300,EMG1,0.2930,Real,Present,AttendFull,Coerced,Left,Visible,0.00,03
47.8610,EMG1,0.4430,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
48.5320,EMG1,1.1030,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
48.6710,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,04
48.9280,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
49.2450,EMG1,0.3900,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,02
49.6580,EMG1,0.3260,Real,Absent,AttendFull,Coerced,Right,Visible,0.00,01
50.3500,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,02
50.3530,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
50.6700,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,04
