OnsetL,Resp,RT,TrialType,Distractors,Task,PhotoD,Hemifield,Visibility,Saccade,Set
38.2930,EMG1,1.2010,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
38.7020,EMG1,0.3250,Real,Present,AttendFull,Coerced,Right,Visible,0.00,03
39.0880,EMG1,0.4060,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,04
39.9970,MISS,0,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
41.0000,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
41.8180,EMG1,0.3920,Real,Present,AttendFull,Coerced,Right,Visible,0.00,03
42.5090,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
42.5190,EMG1,0.4940,Real,Present,AttendFull,Coerced,Right,Visible,0.00,03
43.3270,MISS,0,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
43.6330,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
44.3270,EMG1,1.8130,Catch,Absent,AttendLeft,Coerced,Right,Visible,0.00,04
44.6320,EMG1,1.5340,Catch,Present,AttendFull,Coerced,Left,Visible,0.00,03
44.9330,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,02
45.1490,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,01
45.7450,EMG1,0.3950,Real,Absent,AttendLeft,Coerced,Left,Visible,0.00,04
45.7520,EMG1,0.4140,Real,Present,AttendFull,Coerced,Right,Visible,0.00,03
46.0510,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,02
46.7510,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,02
46.7670,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,01
46.8560,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
47.4660,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,01
47.7470,MISS,0,Catch,Absent,AttendRight,Coerced,Left,Visible,0.00,04
47.7740,MISS,0,Catch,Absent,AttendNone,Coerced,Left,Visible,0.00,02
48.2760,MISS,0,Catch,Present,AttendFull,Coerced,Right,Visible,0.00,03
49.1670,MISS,0,Catch,Absent,AttendNone,Coerced,Right,Visible,0.00,02
